IRIS_ID	SUBPOPULATION
B001	temp
B002	temp
B003	japx
B004	temp
B005	temp
B006	indx
B007	indx
B008	temp
B009	ind1A
B010	ind1A
B011	indx
B012	ind2
B013	indx
B014	temp
B015	ind1A
B016	temp
B017	temp
B018	trop
B019	indx
B020	admix
B021	indx
B023	temp
B024	ind1A
B025	trop
B026	indx
B027	ind3
B028	indx
B029	ind1B
B030	indx
B031	ind2
B032	ind1B
B033	ind1B
B034	temp
B035	indx
B036	japx
B037	trop
B038	temp
B039	indx
B040	indx
B043	trop
B044	indx
B045	temp
B046	temp
B047	temp
B048	ind1B
B049	aus
B051	indx
B052	ind2
B053	trop
B054	trop
B055	temp
B056	temp
B057	temp
B058	ind1B
B059	ind1A
B060	ind1A
B061	ind1A
B062	ind1A
B063	ind1A
B064	indx
B065	indx
B066	temp
B067	ind1A
B068	temp
B069	japx
B070	japx
B071	temp
B072	ind1A
B073	indx
B074	ind1A
B075	indx
B076	indx
B077	temp
B079	ind1A
B081	ind1A
B082	indx
B083	ind1A
B084	admix
B085	ind1A
B086	admix
B087	ind2
B088	indx
B089	indx
B090	indx
B091	indx
B092	ind1A
B093	ind1A
B094	ind1A
B095	indx
B096	indx
B097	indx
B100	temp
B101	temp
B102	temp
B103	temp
B104	ind1A
B105	indx
B106	indx
B107	indx
B108	indx
B109	japx
B110	temp
B111	temp
B112	ind1A
B113	indx
B114	ind1A
B115	ind1A
B116	indx
B117	temp
B118	indx
B119	ind1A
B120	indx
B121	ind1A
B122	temp
B123	indx
B124	temp
B125	indx
B126	ind1A
B127	ind1A
B128	indx
B129	indx
B130	ind1A
B131	indx
B132	indx
B133	indx
B134	subtrop
B135	indx
B136	japx
B137	indx
B138	indx
B139	indx
B140	ind1A
B141	admix
B142	admix
B143	temp
B144	japx
B145	indx
B146	ind1B
B147	ind1A
B148	japx
B149	ind1A
B150	ind1A
B151	ind1A
B152	temp
B153	indx
B154	temp
B155	indx
B156	ind1A
B157	ind1A
B158	admix
B159	indx
B160	temp
B161	temp
B162	temp
B163	ind1A
B164	aus
B165	indx
B166	temp
B167	temp
B168	temp
B169	temp
B170	temp
B171	temp
B173	admix
B176	indx
B179	temp
B180	indx
B181	ind1A
B182	temp
B183	temp
B184	indx
B185	indx
B187	indx
B188	trop
B189	trop
B190	trop
B191	trop
B192	admix
B193	indx
B194	ind1B
B195	indx
B196	trop
B197	ind1A
B198	ind1A
B199	temp
B200	ind1B
B201	ind1B
B202	indx
B203	indx
B204	temp
B205	japx
B207	indx
B208	ind1A
B210	ind1A
B212	temp
B213	ind1A
B214	ind1B
B215	temp
B216	ind1A
B217	ind1B
B218	temp
B219	indx
B221	ind1A
B222	ind1A
B223	temp
B224	ind1A
B225	temp
B226	temp
B227	indx
B228	japx
B229	indx
B230	japx
B231	indx
B232	ind1B
B233	indx
B234	ind1A
B235	temp
B236	temp
B238	indx
B239	ind1A
B240	temp
B241	subtrop
B242	indx
B243	aus
B244	ind1A
B245	subtrop
B246	indx
B247	indx
B248	ind1A
B249	ind1A
B250	temp
B252	indx
B253	indx
B254	indx
B255	indx
B258	temp
B259	ind1A
B260	ind1A
B261	ind1A
B263	temp
B264	ind1A
B265	indx
B266	subtrop
B267	indx
B268	indx
B269	temp
CX10	ind1A
CX100	ind1B
CX101	ind1A
CX102	ind1A
CX103	admix
CX104	aro
CX106	trop
CX107	ind3
CX108	admix
CX109	japx
CX11	japx
CX110	aro
CX111	trop
CX112	admix
CX113	trop
CX114	ind1A
CX115	indx
CX116	temp
CX117	indx
CX118	indx
CX119	indx
CX12	indx
CX120	indx
CX121	ind1B
CX122	indx
CX123	ind1A
CX124	indx
CX125	ind1B
CX126	ind1B
CX128	indx
CX129	trop
CX13	indx
CX130	ind2
CX131	ind1A
CX132	trop
CX133	ind1A
CX134	ind1B
CX138	japx
CX139	japx
CX14	temp
CX140	temp
CX141	ind3
CX142	japx
CX143	aro
CX144	indx
CX145	indx
CX146	indx
CX147	indx
CX148	ind3
CX149	aro
CX15	ind1B
CX150	ind1B
CX151	trop
CX152	ind1B
CX153	ind2
CX154	ind3
CX155	ind2
CX156	indx
CX157	indx
CX158	ind3
CX16	temp
CX160	ind2
CX161	ind1B
CX162	ind1A
CX165	temp
CX17	indx
CX18	ind1A
CX182	indx
CX19	indx
CX2	indx
CX20	indx
CX205	japx
CX206	ind1B
CX207	indx
CX21	ind1B
CX210	admix
CX211	temp
CX212	temp
CX213	temp
CX214	trop
CX218	ind1B
CX219	indx
CX22	ind1B
CX220	trop
CX221	indx
CX225	ind1B
CX226	ind1B
CX227	aus
CX228	indx
CX23	ind3
CX230	ind1B
CX231	indx
CX232	indx
CX233	indx
CX234	indx
CX235	indx
CX236	indx
CX237	ind1B
CX238	ind1B
CX24	indx
CX240	indx
CX241	trop
CX242	admix
CX243	trop
CX247	indx
CX248	trop
CX249	ind1B
CX25	ind1B
CX250	ind1B
CX251	temp
CX26	ind1B
CX262	trop
CX263	indx
CX265	indx
CX266	trop
CX267	indx
CX268	indx
CX269	trop
CX27	indx
CX270	ind1A
CX273	indx
CX274	indx
CX275	indx
CX276	ind1B
CX277	japx
CX278	indx
CX28	ind1B
CX280	admix
CX281	ind1B
CX282	japx
CX284	japx
CX285	trop
CX286	admix
CX287	temp
CX288	indx
CX29	admix
CX290	ind1B
CX291	indx
CX296	indx
CX3	ind1A
CX30	ind1B
CX303	indx
CX304	indx
CX305	ind1B
CX306	temp
CX307	japx
CX31	ind1B
CX313	indx
CX314	ind1B
CX315	temp
CX316	admix
CX317	temp
CX318	indx
CX319	indx
CX32	japx
CX328	ind1A
CX329	temp
CX33	ind1B
CX330	temp
CX34	indx
CX340	ind1B
CX341	indx
CX342	indx
CX343	indx
CX344	temp
CX345	temp
CX346	indx
CX347	indx
CX348	ind1B
CX349	indx
CX35	indx
CX350	temp
CX351	temp
CX352	trop
CX353	japx
CX354	japx
CX355	trop
CX356	temp
CX357	ind1B
CX358	ind1B
CX359	trop
CX360	ind1B
CX361	ind1B
CX362	ind1B
CX363	indx
CX364	ind1B
CX365	admix
CX366	indx
CX367	trop
CX368	aus
CX369	ind1B
CX37	ind1B
CX370	ind1B
CX371	trop
CX372	trop
CX373	trop
CX374	trop
CX375	ind1B
CX376	ind1B
CX377	ind1B
CX378	ind1B
CX379	ind1B
CX380	temp
CX381	ind1B
CX382	ind1B
CX383	temp
CX384	temp
CX385	ind1B
CX386	indx
CX387	ind1B
CX388	ind1B
CX389	temp
CX390	indx
CX391	temp
CX392	indx
CX393	ind1B
CX394	ind1B
CX395	admix
CX396	temp
CX397	temp
CX399	ind1B
CX4	indx
CX400	admix
CX401	indx
CX402	admix
CX403	ind1B
CX408	ind1B
CX409	ind1B
CX410	ind1B
CX411	ind1B
CX413	ind1B
CX414	ind1B
CX416	ind1B
CX417	ind1B
CX418	ind1B
CX419	ind1B
CX42	indx
CX420	ind1B
CX421	ind1B
CX422	ind1B
CX423	ind1B
CX424	ind1B
CX425	ind1B
CX426	ind1B
CX427	temp
CX428	temp
CX429	temp
CX43	ind1B
CX431	indx
CX44	ind1B
CX45	ind1B
CX46	admix
CX47	temp
CX48	indx
CX49	temp
CX5	indx
CX50	ind1B
CX51	indx
CX52	indx
CX53	indx
CX534	temp
CX54	indx
CX542	indx
CX548	indx
CX55	ind1A
CX56	temp
CX561	ind1B
CX57	temp
CX578	temp
CX579	admix
CX58	temp
CX59	aro
CX6	admix
CX60	ind1B
CX61	ind1A
CX63	aus
CX64	ind3
CX65	aro
CX66	aro
CX67	aro
CX68	indx
CX69	indx
CX70	indx
CX71	ind3
CX72	aro
CX73	ind1B
CX74	temp
CX75	indx
CX76	ind1B
CX77	trop
CX78	temp
CX79	ind1B
CX8	indx
CX80	ind1B
CX82	ind1B
CX83	ind1B
CX84	indx
CX85	indx
CX86	indx
CX87	indx
CX88	ind1A
CX89	indx
CX9	ind1B
CX90	ind1B
CX91	ind1B
CX92	ind1B
CX93	indx
CX94	indx
CX96	ind1B
CX97	ind1B
CX98	ind2
CX99	ind2
IRIS_313-10000	ind1B
IRIS_313-10001	ind1B
IRIS_313-10002	ind1B
IRIS_313-10007	indx
IRIS_313-10010	ind2
IRIS_313-10014	temp
IRIS_313-10016	indx
IRIS_313-10020	aus
IRIS_313-10025	admix
IRIS_313-10026	ind2
IRIS_313-10030	ind2
IRIS_313-10032	aro
IRIS_313-10034	indx
IRIS_313-10035	ind2
IRIS_313-10040	ind1B
IRIS_313-10041	trop
IRIS_313-10045	indx
IRIS_313-10046	ind1B
IRIS_313-10047	ind1A
IRIS_313-10048	indx
IRIS_313-10050	indx
IRIS_313-10051	trop
IRIS_313-10054	indx
IRIS_313-10056	subtrop
IRIS_313-10057	temp
IRIS_313-10059	temp
IRIS_313-10061	japx
IRIS_313-10062	trop
IRIS_313-10065	trop
IRIS_313-10067	trop
IRIS_313-10071	trop
IRIS_313-10073	trop
IRIS_313-10074	trop
IRIS_313-10075	trop
IRIS_313-10076	trop
IRIS_313-10077	indx
IRIS_313-10078	trop
IRIS_313-10079	trop
IRIS_313-10080	trop
IRIS_313-10082	trop
IRIS_313-10083	temp
IRIS_313-10084	temp
IRIS_313-10089	temp
IRIS_313-10092	temp
IRIS_313-10093	temp
IRIS_313-10094	trop
IRIS_313-10096	japx
IRIS_313-10097	temp
IRIS_313-10099	trop
IRIS_313-10102	ind2
IRIS_313-10103	indx
IRIS_313-10109	ind3
IRIS_313-10111	japx
IRIS_313-10113	indx
IRIS_313-10114	ind2
IRIS_313-10119	japx
IRIS_313-10124	temp
IRIS_313-10129	ind1A
IRIS_313-10134	ind3
IRIS_313-10147	ind3
IRIS_313-10148	indx
IRIS_313-10150	aus
IRIS_313-10151	ind3
IRIS_313-10152	trop
IRIS_313-10154	ind1A
IRIS_313-10158	indx
IRIS_313-10161	ind1B
IRIS_313-10164	temp
IRIS_313-10167	indx
IRIS_313-10168	indx
IRIS_313-10170	ind1A
IRIS_313-10171	ind1A
IRIS_313-10176	subtrop
IRIS_313-10177	indx
IRIS_313-10178	ind1A
IRIS_313-10179	indx
IRIS_313-10189	ind1A
IRIS_313-10190	ind1A
IRIS_313-10191	ind1A
IRIS_313-10196	trop
IRIS_313-10211	ind1A
IRIS_313-10220	indx
IRIS_313-10221	indx
IRIS_313-10224	ind1A
