IRIS_ID	ACCESSION	SUBPOPULATION	COUNTRY	IRGC_no
B001	HEIBIAO	temp	china	IRGC 135900
B002	SANSUIJIN	temp	china	IRGC 136041
B003	ZAOSHENGBAI	japx	china	IRGC 136088
B004	QIUGUANGTENGXI 104	temp	china	IRGC 136031
B005	WANSHI	temp	china	IRGC 136067
B006	YIKONG	indx	china	IRGC 136078
B007	TIANHANDAO	indx	china	IRGC 136055
B008	BAXIANG	temp	china	NA
B009	VIETNAM ZAODAO	ind1A	china	IRGC 136065
B010	MALAIHONG	ind1A	china	NA
B011	CO 22	indx	china	IRGC 135870
B012	2037(RAJAHAMSAL)	ind2	china	IRGC 135815
B013	SRI LANKA 1	indx	china	IRGC 136049
B014	WUZILUOSI 215	temp	china	IRGC 136072
B015	KAHAMU	ind1A	china	IRGC 135963
B016	AOMIERTE 168	temp	china	IRGC 135829
B017	AERJITUO	temp	china	IRGC 135822
B018	AMERICAN HUANGKEDAO	trop	china	IRGC 135827
B019	BULEIDA A-75	indx	china	IRGC 135852
B020	JINEIYADAO	admix	china	IRGC 135958
B021	SELN 244A6-20	indx	china	IRGC 136044
B023	GAOLIQIU	temp	china	IRGC 135891
B024	XIANLUOSICHI	ind1A	china	IRGC 136076
B025	DJANDA MANDJA	trop	china	IRGC 135881
B026	PADI LADANG ASE POLO KOMEK	indx	china	IRGC 136017
B027	C 894-21	ind3	china	IRGC 135858
B028	IR 10179-23-1-3	indx	china	IRGC 135917
B029	DUMAI	ind1B	china	IRGC 135885
B030	JAIBATTEY	indx	china	IRGC 135950
B031	NGATSIN	ind2	china	IRGC 136007
B032	ROHINI	ind1B	china	IRGC 136034
B033	BW 293-2	ind1B	china	IRGC 135853
B034	ALBANIA RICE	temp	china	IRGC 135825
B035	AMERICAN RICE	indx	china	IRGC 135828
B036	JIJUCAS CLARO	japx	china	IRGC 135955
B037	NANOAY P.A	trop	china	IRGC 135999
B038	NABATED A SMAR	temp	china	IRGC 135997
B039	IRAT 10	indx	china	IRGC 135940
B040	K 24	indx	china	IRGC 135962
B043	YR 83-23-11	trop	china	IRGC 136081
B044	SANTIANNUO	indx	china	IRGC 136042
B045	GONGCHENGXIANG	temp	china	IRGC 135896
B046	QIUTIANXIAOTING	temp	china	IRGC 136032
B047	ZHENFU 8	temp	china	IRGC 136092
B048	CISOKAN	ind1B	china	IRGC 135868
B049	ZACAODAO 13	aus	china	IRGC 136086
B051	GZ 1368-5-4	indx	china	IRGC 135899
B052	J34	ind2	china	IRGC 135949
B053	80A97YR303-304-1-3	trop	china	IRGC 135819
B054	80050YR72136-43	trop	china	IRGC 135817
B055	YR196	temp	china	IRGC 136080
B056	TIEGANWU	temp	china	NA
B057	XIUSHUI 115	temp	china	NA
B058	ERJIUNAN 1	ind1B	china	NA
