"Location","Season","BLOCK","Accession","NPT","PL","GYKGPHA"
"ISARC","20WS",1,"POHHERLIMASION::IRGC 62025-1",5,28.9,2011.7
"ISARC","21WS",1,"POHHERLIMASION::IRGC 62025-1",8,35.33,3929.8246
"ISARC","21WS",1,"NAN TEO 14::IRGC 7304-1",10,25.4,3512.069
"ISARC","20WS",1,"NAN TEO 14::IRGC 7304-1",6,19.6,
"ISARC","21WS",1,"URAIBOOL::IRGC 52785-1",7.67,28.9,2601.8868
"ISARC","20WS",1,"URAIBOOL::IRGC 52785-1",5,25.8,3729.09
"ISARC","20WS",1,"IARI 11387::IRGC 19573-1",6,23.8,2347.06
"ISARC","21WS",1,"IARI 11387::IRGC 19573-1",7,20.53,3091.6667
"ISARC","21WS",1,"HARRA::GERVEX 501-C1",6.67,18.4,749.1228
"ISARC","20WS",1,"HARRA::GERVEX 501-C1",7,12.5,478.33
"ISARC","20WS",1,"PL 3165::IRGC 62827-1",6,13.8,630
"ISARC","21WS",1,"PL 3165::IRGC 62827-1",8.67,18.13,1878.3333
"ISARC","20WS",1,"ARC 18371::IRGC 42423-2",6,26.1,2444.26
"ISARC","21WS",1,"ARC 18371::IRGC 42423-2",5.67,21.3,3120.339
"ISARC","21WS",1,"GUANG XUAN LIU HAO::IRGC 77341-1",7.67,22.63,3143.8596
"ISARC","20WS",1,"GUANG XUAN LIU HAO::IRGC 77341-1",7,20,2263.33
"ISARC","20WS",1,"O. SATIVA::IRGC 16898-1",7,30.5,1613.04
"ISARC","21WS",1,"O. SATIVA::IRGC 16898-1",4.33,26.9,1115.625
"ISARC","21WS",1,"PAKISTANHMWE::IRGC 70763-1",4.67,22.87,2730
"ISARC","20WS",1,"PAKISTANHMWE::IRGC 70763-1",3,27,4270
"ISARC","21WS",1,"SAMBA::GERVEX 186-C1",7.33,26.97,3962.7119
"ISARC","20WS",1,"SAMBA::GERVEX 186-C1",5,20.3,3143.86
"ISARC","21WS",1,"MALAGASY::IRGC 69717-1",4.33,24.83,1690.566
"ISARC","20WS",1,"MALAGASY::IRGC 69717-1",6,25.1,452.94
"ISARC","21WS",1,"79 UPLA::GERVEX 154-C1",6.67,26.83,3262.7119
"ISARC","20WS",1,"79 UPLA::GERVEX 154-C1",6,28.8,2788.33
"ISARC","20WS",1,"CHAO DO::IRGC 106666-1",4,27.3,2753.33
"ISARC","21WS",1,"CHAO DO::IRGC 106666-1",5.33,24.7,3570
"ISARC","20WS",1,"ARC 10754::IRGC 12603-1",7,28.9,863.33
"ISARC","21WS",1,"ARC 10754::IRGC 12603-1",6.67,28.67,3536.2069
"ISARC","20WS",1,"JASURE AUS::IRGC 43860-1",7,24.3,2041.67
"ISARC","21WS",1,"JASURE AUS::IRGC 43860-1",8,25.07,3698.3333
"ISARC","20WS",1,"KHAW KAR 13::IRGC 36711-1",6,19.8,748.28
"ISARC","21WS",1,"KHAW KAR 13::IRGC 36711-1",6,18.87,1981.3559
"ISARC","20WS",1,"SUPER::GERVEX 1304-C1",7,29.2,4118.33
"ISARC","21WS",1,"SUPER::GERVEX 1304-C1",8,26.13,2942.3729
"ISARC","20WS",1,"KURULU WEE (WHITE)::IRGC 66518-1",6,25.9,2910.53
"ISARC","21WS",1,"KURULU WEE (WHITE)::IRGC 66518-1",9,26.07,3174.1379
"ISARC","21WS",1,"GAO JIAO BAI::IRGC 68047-1",10.67,19.1,2229.6296
"ISARC","20WS",1,"GAO JIAO BAI::IRGC 68047-1",8,15.9,810.53
"ISARC","21WS",1,"DRR Dhan 44",7,28.07,5056.8966
"ISARC","20WS",1,"DRR Dhan 44",6,26.5,4750
"ISARC","21WS",1,"SHANGYIPA::IRGC 64928-1",6,28.23,3120.339
"ISARC","20WS",1,"SHANGYIPA::IRGC 64928-1",7,24.8,1682.46
"ISARC","21WS",1,"BANIKAT::IRGC 67720-1",7.67,27.67,4725
"ISARC","20WS",1,"BANIKAT::IRGC 67720-1",9,23.8,3867.8
"ISARC","21WS",1,"MUGA::GERVEX 1099-C1",6.67,25.5,3115
"ISARC","20WS",1,"MUGA::GERVEX 1099-C1",7,26.2,2625
"ISARC","20WS",1,"CHIYODA WASE::IRGC 74467-1",5,25.4,2298.33
"ISARC","21WS",1,"CHIYODA WASE::IRGC 74467-1",6,22.67,1940.3509
"ISARC","21WS",1,"YERI BUTUKA::IRGC 82591-1",6.67,24.57,3266.6667
"ISARC","20WS",1,"YERI BUTUKA::IRGC 82591-1",7,26.8,3550.91
"ISARC","20WS",1,"DONG DU::IRGC 72037-1",8,22.7,1936.67
"ISARC","21WS",1,"DONG DU::IRGC 72037-1",10,23.73,3500
"ISARC","20WS",1,"SETTANTUNO::GERVEX 1279-C1",7,27.5,4507.02
"ISARC","21WS",1,"SETTANTUNO::GERVEX 1279-C1",6.67,26.5,4118.3333
"ISARC","20WS",1,"TANG DU GU::IRGC 77400-1",8,20.4,1933.9
"ISARC","21WS",1,"TANG DU GU::IRGC 77400-1",7.67,23.5,2741.6667
"ISARC","20WS",1,"YI LI ZHONG::IRGC 67382-1",6,28.5,2148.28
"ISARC","21WS",1,"YI LI ZHONG::IRGC 67382-1",7.33,29.5,3161.6667
"ISARC","21WS",1,"ARC 11245::IRGC 42651-2",8.33,20.9,1945.7627
"ISARC","20WS",1,"ARC 11245::IRGC 42651-2",11,25.9,2628.07
"ISARC","20WS",1,"INDIA DULAR (NO ORDEM 7)::IRGC 26070-1",6,24.1,2075.44
"ISARC","21WS",1,"INDIA DULAR (NO ORDEM 7)::IRGC 26070-1",5.33,26.5,3138.3333
"ISARC","21WS",1,"DUDRE::IRGC 52523-1",6.33,29.2,2415
"ISARC","20WS",1,"DUDRE::IRGC 52523-1",9,29.2,3600
"ISARC","20WS",1,"ARC 7255::IRGC 12343-2",8,23.7,1850.85
"ISARC","21WS",1,"ARC 7255::IRGC 12343-2",11,25.37,1306.6667
"ISARC","20WS",1,"Sukadhan 5",9,21.9,2800
"ISARC","21WS",1,"Sukadhan 5",8.33,22.3,3616.6667
"ISARC","20WS",1,"GARURA::IRGC 64111-1",7,26.6,3910.34
"ISARC","21WS",1,"GARURA::IRGC 64111-1",6.33,25.83,3290
"ISARC","20WS",1,"DELTA::GERVEX 1519-C1",6,16.1,636.36
