"X.Phenotype.","PL"
"IRIS_313-11586",27.23
"IRIS_313-11037",27.83
"IRIS_313-8061",19.63
"IRIS_313-8060",26.07
"IRIS_313-8057",26.83
"IRIS_313-9140",24.33
"IRIS_313-12185",27.5
"IRIS_313-11744",24.73
"IRIS_313-12057",29.07
"IRIS_313-11877",26.3
"IRIS_313-12234",23.97
"IRIS_313-9137",27.97
"IRIS_313-8986",28.67
"IRIS_313-10675",30.3
"IRIS_313-10676",30.97
"IRIS_313-10859",29.17
"IRIS_313-11294",20.9
"IRIS_313-10863",26.57
"IRIS_313-9176",21.93
"IRIS_313-8999",26
"IRIS_313-8946",27
"IRIS_313-10867",24.73
"IRIS_313-9560",28.5
"IRIS_313-8585",28.27
"IRIS_313-8554",29.63
"IRIS_313-10878",29.33
"IRIS_313-10884",25.73
"IRIS_313-10885",24.23
"IRIS_313-8603",20.3
"IRIS_313-10892",28.53
"IRIS_313-11262",22.33
"IRIS_313-11264",29.6
"IRIS_313-11299",26.13
"IRIS_313-11267",24.63
"IRIS_313-9593",27.2
"IRIS_313-8332",30.83
"IRIS_313-11303",26.77
"IRIS_313-11281",29.73
"IRIS_313-8982",26.87
"IRIS_313-11287",21.3
"IRIS_313-11443",27.17
"IRIS_313-10845",27.53
"IRIS_313-9424",26.8
"IRIS_313-10847",23
"IRIS_313-10666",23.4
"IRIS_313-10849",29.97
"IRIS_313-10668",25.37
"IRIS_313-8168",20.83
"IRIS_313-11048",25.47
"IRIS_313-11056",25.33
"IRIS_313-11060",23.53
"IRIS_313-11047",24.57
"IRIS_313-8171",23.07
"IRIS_313-10837",25.87
"IRIS_313-9403",25.43
"IRIS_313-11878",25.6
"IRIS_313-11164",25.07
"IRIS_313-8637",27.3
"IRIS_313-12254",25.3
"IRIS_313-8988",27.67
"IRIS_313-11997",26.87
"IRIS_313-8963",25.17
"IRIS_313-10569",20.73
"IRIS_313-9551",26.73
"IRIS_313-9782",24.83
"IRIS_313-9783",23.43
"IRIS_313-10083",21.73
"IRIS_313-11597",24.4
"IRIS_313-10619",26.5
"IRIS_313-11947",24.83
"IRIS_313-10448",27.43
"IRIS_313-11192",27
"IRIS_313-11065",21.63
"IRIS_313-11853",25.67
"IRIS_313-11917",24.4
"IRIS_313-11354",28.37
"IRIS_313-8166",21.13
"IRIS_313-8109",13.4
"IRIS_313-10441",25.33
"IRIS_313-7856",22.63
"IRIS_313-12210",24
"IRIS_313-10450",28.63
"IRIS_313-9368",27.83
"IRIS_313-9917",26.17
"IRIS_313-12329",24.7
"IRIS_313-12190",28.5
"IRIS_313-11992",30.67
"IRIS_313-10093",19.4
"IRIS_313-11743",33.07
"IRIS_313-9204",23.8
"IRIS_313-11353",21.77
"IRIS_313-10932",22.47
"IRIS_313-11693",26.17
"IRIS_313-11408",25.97
"IRIS_313-10071",22.67
"IRIS_313-9484",28.47
"IRIS_313-9233",18.4
"IRIS_313-9422",25.47
"IRIS_313-8165",12.63
