"Trial","Genotype ","Replication","TN","RN","ARP","RL","Category"
"2nd Expt","MG1",3,9,212,33.99,711.243,"xx"
"2nd Expt","MG1",2,9,235,40.06,701.678,"xx"
"2nd Expt","MG1",1,10,283,37.82,524.315,"xx"
"2nd Expt","MG5",1,8,163,34.65,732.077,"xx"
"2nd Expt","MG5",2,9,177,37.64,617.693,"xx"
"2nd Expt","MG5",3,9,196,31.9,892.359,"xx"
"2nd Expt","MG6",1,9,218,24.79,828.369,"xx"
"2nd Expt","MG6",3,9,226,24.7,589.501,"xx"
"2nd Expt","MG6",2,9,239,25.79,507.984,"yy"
"2nd Expt","MG10",2,7,189,30.75,1123.79,"yy"
"2nd Expt","MG10",1,7,209,27.87,1095.825,"yy"
"2nd Expt","MG10",3,8,225,29.29,792.673,"yy"
"2nd Expt","MG11",3,9,185,33.29,668.258,"yy"
"2nd Expt","MG11",2,9,217,32.75,645.308,"yy"
"2nd Expt","MG11",1,9,238,33.54,695.977,"yy"
"2nd Expt","MG12",1,7,167,18.25,471.198,"yy"
"2nd Expt","MG12",3,7,188,22.13,773.148,"yy"
"2nd Expt","MG12",2,7,198,19.97,455.347,"yy"
"2nd Expt","MG17",1,6,129,26.45,829.41,"yy"
"2nd Expt","MG17",2,6,130,25.88,706.41,"yy"
"2nd Expt","MG17",3,8,182,25.86,898.356,"zz"
"2nd Expt","MG20",1,7,193,34.99,721.966,"zz"
"2nd Expt","MG20",2,9,220,30.45,702.626,"zz"
"2nd Expt","MG20",3,9,237,33.06,544.777,"zz"
"2nd Expt","MG22",2,7,162,36.21,702.592,"zz"
"2nd Expt","MG22",1,7,166,27.87,755.571,"zz"
"2nd Expt","MG22",3,7,167,34.93,623.096,"zz"
"2nd Expt","MG25",3,8,248,35.26,957.274,"zz"
"2nd Expt","MG25",1,8,261,32.16,793.869,"zz"
"2nd Expt","MG25",2,8,278,36.96,717.679,"zz"
"2nd Expt","MG27",1,8,216,31.41,701.826,"zz"
"2nd Expt","MG27",2,9,243,29.28,713.426,"zz"
"2nd Expt","MG27",3,9,253,32.35,728.14,"zz"
"2nd Expt","MG30",1,8,203,26.15,794.794,"zz"
"2nd Expt","MG30",3,8,247,25.88,733.851,"zz"
"2nd Expt","MG30",2,9,254,23.63,800.785,"qq"
"2nd Expt","MG32",2,8,140,31.28,943.703,"qq"
"2nd Expt","MG32",1,9,182,27.13,916.471,"qq"
"2nd Expt","MG32",3,10,216,24.77,909.992,"qq"
"2nd Expt","MG35",3,7,172,27.82,946.142,"qq"
"2nd Expt","MG35",1,8,174,29.01,1014.79,"qq"
"2nd Expt","MG35",2,8,190,28.68,936.865,"qq"
"2nd Expt","MG36",2,9,192,35.51,914.447,"qq"
"2nd Expt","MG36",1,9,196,31.5,786.315,"qq"
"2nd Expt","MG36",3,10,219,33.19,683.56,"qq"
"2nd Expt","MG37",3,7,181,30.33,505.291,"qq"
"2nd Expt","MG37",1,7,221,25.82,657.447,"qq"
"2nd Expt","MG37",2,9,265,30.19,648.402,"qq"
"2nd Expt","MG42",2,7,172,30.33,1034.643,"qq"
"2nd Expt","MG42",3,6,153,36.02,1011,"qq"
"2nd Expt","MG42",1,6,148,33.8,1031.179,"qq"
"2nd Expt","MG50",1,8,157,29.5,420.033,"qq"
"2nd Expt","MG50",3,9,195,27.56,539.875,"aa"
"2nd Expt","MG50",2,9,198,25.41,452.864,"aa"
"2nd Expt","MG51",2,6,229,24.93,899.99,"aa"
"2nd Expt","MG51",3,7,237,32.91,894.948,"aa"
"2nd Expt","MG51",1,9,294,29.43,1095.477,"aa"
"2nd Expt","MG55",2,7,189,34.28,899.984,"aa"
"2nd Expt","MG55",1,7,195,29.27,814.275,"aa"
"2nd Expt","MG55",3,8,212,27.51,737.699,"aa"
"2nd Expt","MG56",3,6,176,39.85,824.355,"aa"
"2nd Expt","MG56",2,7,196,35.59,724.534,"aa"
"2nd Expt","MG56",1,7,196,42.84,641.718,"aa"
"2nd Expt","MG60",1,9,178,33.29,845.859,"aa"
"2nd Expt","MG60",3,9,192,29.73,771.033,"aa"
"2nd Expt","MG60",2,9,201,31.94,792.804,"aa"
"2nd Expt","MG61",1,8,175,26.45,655.574,"nn"
"2nd Expt","MG61",2,8,199,27.38,773.71,"nn"
"2nd Expt","MG61",3,9,238,22.83,659.647,"nn"
"2nd Expt","MG62",3,5,172,27,763.909,"nn"
"2nd Expt","MG62",1,6,217,24.69,633.909,"nn"
"2nd Expt","MG62",2,6,219,31.64,658.66,"nn"
"2nd Expt","MG65",2,9,110,32.65,572.479,"nn"
"2nd Expt","MG65",3,10,141,33.4,655.428,"nn"
"2nd Expt","MG65",1,11,173,29.65,650.395,"nn"
"2nd Expt","MG66",3,8,172,34.68,678.676,"nn"
"2nd Expt","MG66",1,9,174,28,772.179,"nn"
"2nd Expt","MG66",2,9,192,32.27,722.802,"nn"
"2nd Expt","MG70",3,8,238,31.31,735.248,"nn"
"2nd Expt","MG70",2,8,245,30.57,727.363,"nn"
"2nd Expt","MG70",1,9,272,32.32,636.894,"nn"
"2nd Expt","MG71",1,7,79,29.99,868.538,"nn"
"2nd Expt","MG71",2,8,87,35.31,907.067,"nn"
"2nd Expt","MG71",3,8,95,32,739.541,"nn"
"2nd Expt","MG72",2,7,124,26.32,764.22,"nn"
