X.Phenotype.,GRYLD
IC321916,5.2
IC252705,5.73
IC35163,6.42
IC252714,3.18
IC420932,4.69
IC252745,3.78
IC252783,3.45
IC252784,6.01
IC252785,4.83
IC252792,6.4
IC252844,4.67
IC111787,3.73
IC252927,5.32
IC252928,5.23
IC252948,4.22
IC258208,5.71
IC258214,5.63
IC260887,5.24
IC260935,4.16
IC263247,2.77
IC279878,1.98
IC279882,4.05
IC28544,4.09
IC28564,3.57
IC28628,3.93
IC111867,3.04
IC28634,2.77
IC28658,3.28
IC28749,2.08
IC28844,4.4
IC28869,2.85
IC28934,1.87
IC290211,3.48
IC296538,3.94
IC296743,4.44
IC0534167 ,5.89
IC0534186 ,4.75
IC296889,2.23
IC311079,5.11
IC318875,2.9
IC31979,3.2
IC321851,5.95
IC321853,3.4
IC321864,2.79
IC321910,3.66
IC322002,1.67
IC328489,3.73
IC329509,0.8
IC333151,3.91
IC335683,2.45
IC335687,3.19
IC335716,6.08
IC0535052 ,3.81
IC335719,4.99
IC0534283 ,4.99
IC335760,5.13
IC321878,4.6
IC321888,7.17
IC321899,5.2
IC598270,3.61
IC598264,3.86
IC336648,4.94
IC330927,3.78
IC336751,4.47
IC261397,2.68
IC402030,1.98
IC402063,4.82
IC338696,4.67
IC345589,6.24
IC396586,4.94
IC347884,5.41
IC396596,4.18
IC614999,4.5
IC335963,6.87
IC351655,6.8
IC356467,4.9
IC339591,2.9
IC376242,5.96
IC335937,4.45
IC118750,2.11
IC397516,3.68
IC336741,2.21
IC397243,4.11
IC332329,2.31
IC338826,4.72
IC36865,4.99
IC369877,4.07
IC384533,2.96
IC532845,3.34
IC384542,6.94
IC393128,3.49
IC393879,4.44
IC398115,-0.32
IC397820,0.42
IC279867,5.37
IC279886,5.3
IC393885,4.55
IC361690,3.63
IC382720,4.56
IC467788,4.01
IC394806,5.62
IC279864,5.26
IC396576,4.64
IC107396,2.61
IC107406,3.8
IC427157,4.31
IC538794,5.49
IC538805,3.72
IC396617,5.61
IC427231,4.17
IC396619,5.88
IC538731,5.29
IC415501,5.47
IC310102,6.81
IC372660,4.97
IC372661,2.11
IC372670,3.61
IC372745,2.25
IC372656,1.13
IC310099,1.94
IC329444,5.6
IC329464,6.39
IC329478,4.75
IC329508,4.34
IC397983,4.86
IC329538,4.33
IC329541,6.31
IC310106,5.88
IC382723,5.9
IC382726,4.53
IC328650,6.94
IC328652,5.62
IC398067,6.75
IC329601,7.49
IC398287,6.99
IC582718,7.66
IC582724,7.97
IC582728,6.92
IC582733,6.23
IC372639,6.45
IC447513,6.53
IC447514,6.28
IC447515,5.52
IC116276,6.4
IC082286,6.59
IC279315,6.74
IC279324,7.71
IC279327,6.05
IC279333,5.98
IC279335,8.35
IC279336,7.48
IC321152,7.13
IC321153,6.87
IC405226,5.86
IC321160,7.3
IC406688,7.09
IC278685,5.8
IC447516,5.77
IC447517,7.46
IC447518,5.71
IC447521,5.66
IC447522,5.73
IC447524,5.5
IC421920,7.23
IC421924,7.53
IC415099,7.09
IC421937,7.16
IC107384,5.73
IC397879,7.18
IC427210,6.59
IC427183,7.93
IC427201,5.6
IC427207,5.23
IC415860,5.19
IC279159,6
IC415868,5.67
IC328511,6.28
IC328540,5.26
IC415872,5.92
IC328528,4.19
IC589288,5.25
IC595375,6.41
IC415877,6.62
IC355863,4.08
IC415879,6.89
IC118722,5.56
IC260858,5.64
IC393108,4.23
IC393111,3.93
IC415939,6.31
IC398279,6.11
IC415963,4.3
IC393113,4.79
IC398276,5.03
IC281804,5.91
