X.Phenotype.,GRYLD,subpopulation
IC321916,5.2,yq
IC252705,5.73,yy
IC35163,6.42,yy
IC252714,3.18,xx
IC420932,4.69,zz
IC252745,3.78,yy
IC252783,3.45,zz
IC252784,6.01,xx
IC252785,4.83,zz
IC252792,6.4,yq
IC252844,4.67,zz
IC111787,3.73,xx
IC252927,5.32,yy
IC252928,5.23,zz
IC252948,4.22,xx
IC258208,5.71,xx
IC258214,5.63,yy
IC260887,5.24,zz
IC260935,4.16,xx
IC263247,2.77,yq
IC279878,1.98,yq
IC279882,4.05,yy
IC28544,4.09,yy
IC28564,3.57,xx
IC28628,3.93,zz
IC111867,3.04,yy
IC28634,2.77,zz
IC28658,3.28,xx
IC28749,2.08,zz
IC28844,4.4,yq
IC28869,2.85,zz
IC28934,1.87,xx
IC290211,3.48,yy
IC296538,3.94,zz
IC296743,4.44,xx
IC0534167 ,5.89,xx
IC0534186 ,4.75,yy
IC296889,2.23,zz
IC311079,5.11,xx
IC318875,2.9,yq
IC31979,3.2,yq
IC321851,5.95,yy
IC321853,3.4,yy
IC321864,2.79,xx
IC321910,3.66,zz
IC322002,1.67,yy
IC328489,3.73,zz
IC329509,0.8,xx
IC333151,3.91,zz
IC335683,2.45,yq
IC335687,3.19,zz
IC335716,6.08,xx
IC0535052 ,3.81,yy
IC335719,4.99,zz
IC0534283 ,4.99,xx
IC335760,5.13,xx
IC321878,4.6,yy
IC321888,7.17,zz
IC321899,5.2,xx
IC598270,3.61,yq
IC598264,3.86,yq
IC336648,4.94,yy
IC330927,3.78,yy
IC336751,4.47,xx
IC261397,2.68,zz
IC402030,1.98,yy
IC402063,4.82,zz
IC338696,4.67,xx
IC345589,6.24,zz
IC396586,4.94,yq
IC347884,5.41,zz
IC396596,4.18,xx
IC614999,4.5,yy
IC335963,6.87,zz
IC351655,6.8,xx
IC356467,4.9,xx
IC339591,2.9,yy
IC376242,5.96,zz
IC335937,4.45,xx
IC118750,2.11,yq
IC397516,3.68,yq
IC336741,2.21,yy
IC397243,4.11,yy
IC332329,2.31,xx
IC338826,4.72,zz
