"LOCATION","SEASON","BLOCK","IRGC.NO","Trait1","Trait2","Trait3","Trait4","Trait5","Trait6"
"ISARC","WS2021",5,"IRGC 121119",93,100.63,5.67,23,94,3916.67
"ISARC","WS2021",1,"IRGC 121154",129,120.8,6,24.57,76,3166.67
"ISARC","WS2021",1,"IRGC 121316",95,153.87,6,26.3,113,4708.33
"ISARC","WS2021",2,"IRGC 121342",115,146.57,6.67,34,46.6,1941.67
"ISARC","WS2021",1,"IRGC 121441",141,178.13,7.67,26.8,18.8,783.33
"ISARC","WS2021",1,"IRGC 121474",81,89,7.67,23.27,83,3458.33
"IGKV","WS2021",2,"IRGC 121342",109,146,5,29,431,1796
"IGKV","WS2021",1,"IRGC 121441",109,178,6,22,625,2604
"IGKV","WS2021",1,"IRGC 121474",87,83,5,19,730,3042
"IGKV","WS2021",5,"IRGC 121974",85,116,4,22,464,1933
"IGKV","WS2021",3,"IRGC 122029",88,105,6,25,680,2833
"IGKV","WS2021",4,"IRGC 122076",109,148,7,24,1033,4304
"IGKV","WS2021",1,"IRGC 122089",88,78,6,21,620,2583
"IGKV","WS2021",3,"IRGC 122098",87,112,4,27,918,3825
"IGKV","WS2021",5,"IRGC 122099",88,100,7,26,618,2575
"ISARC","WS2020",4,"IRGC 128018",130,114.87,12.33,22.7,34.4,1433.33
"ISARC","WS2020",3,"IRGC 128020",90,77.3,7.67,22.9,44.8,1866.67
"ISARC","WS2020",3,"IRGC 128025",137,126.47,9.33,21.57,39,1625
"ISARC","WS2020",3,"IRGC 128040",95,168.9,6.33,28.33,79.8,3325
"ISARC","WS2020",4,"IRGC 128041",135,154.07,6.33,23.33,50.2,2091.67
"ISARC","WS2020",2,"IRGC 128044",128,125.63,8.33,22.5,108.6,4525
"ISARC","WS2020",5,"IRGC 128046",129,139.93,7.33,24.27,114.2,4758.33
"IGKV","WS2020",5,"IRGC 127538",82,94,5,21,681,2838
"IGKV","WS2020",1,"IRGC 127556",116,164,6,22,1072,4467
"IGKV","WS2020",2,"IRGC 127563",104,107,7,24,605,2521
"IGKV","WS2020",4,"IRGC 127576",86,143,7,21,723,3013
"IGKV","WS2020",5,"IRGC 127612",104,174,6,18,690,2875
"IGKV","WS2020",3,"IRGC 127614",100,186,6,29,947,3946
"IGKV","WS2020",2,"IRGC 127631",118,172,5,27,1163,4846
"IGKV","WS2020",5,"IRGC 127632",116,143,9,28,966,4025
"IGKV","WS2020",2,"IRGC 127634",102,132,6,23,745,3104
"IGKV","WS2020",4,"IRGC 127639",102,100,6,21,516,2150
"IGKV","WS2020",2,"IRGC 127650",102,150,5,26,883,3679
"IGKV","WS2020",4,"IRGC 127674",106,133,5,20,847,3529
"IGKV","WS2020",2,"IRGC 127901",79,159,5,27,352,1467
"IGKV","WS2020",1,"IRGC 127907",121,119,7,23,761,3171
"IGKV","WS2020",4,"IRGC 127908",86,139,6,23,378,1575
"IGKV","WS2020",4,"IRGC 127919",86,126,7,22,158,658
"IGKV","WS2020",5,"IRGC 127923",113,142,6,27,553,2304
"IGKV","WS2020",4,"IRGC 127926",118,167,7,23,925,3854
"IGKV","WS2020",2,"IRGC 127929",109,157,5,25,762,3175
"IGKV","WS2020",3,"IRGC 127932",116,155,6,23,927,3863
"IGKV","WS2020",3,"IRGC 127933",116,158,6,28,814,3392
"IGKV","WS2020",4,"IRGC 127937",116,144,7,27,706,2942
"IGKV","WS2020",3,"IRGC 127943",102,154,6,25,697,2904
"IGKV","WS2020",5,"IRGC 127946",90,156,7,28,743,3096
